trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_tagescl64,TAGE-SC-L 64KB,200000004,104103481,1.921165,2.3510,0.0017,151.339,98.7800,0.00,1.000000,0.0000,0.0000,0.0000
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_tagescl192,TAGE-SC-L 192KB,200000004,104103511,1.921165,2.3510,0.0018,151.343,98.7800,0.00,1.000000,0.0000,-2.0057,-0.0025
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_ddtage,DD-TAGE (Ros),200000004,104103481,1.921165,2.3510,0.0016,151.298,98.7800,0.00,1.000000,0.0000,6.0172,0.0267
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_runlts,RUNLTS (no RV),200000004,104103511,1.921165,2.3500,0.0013,151.281,98.7800,0.00,1.000000,0.0425,23.4957,0.0381
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_runlts_rv,RUNLTS (load RV),200000004,104103511,1.921165,2.3500,0.0013,151.281,98.7800,34.38,1.000000,0.0425,23.4957,0.0381
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_perfdir,Perfect direction,200000004,104087366,1.921463,2.3490,0.0000,151.162,98.7800,0.00,1.000155,0.0851,100.0000,0.1170
714.cpython_r.sp0,714.cpython_r,0.1449,cbp_perfall,Perfect direction+target,200000004,94911351,2.107230,0.0000,0.0000,0.000,100.0000,0.00,1.096850,100.0000,100.0000,100.0000
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_tagescl64,TAGE-SC-L 64KB,200000001,102065757,1.959521,3.1510,0.0004,237.646,98.4600,0.00,1.000000,0.0000,0.0000,0.0000
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_tagescl192,TAGE-SC-L 192KB,200000001,102065757,1.959521,3.1510,0.0004,237.646,98.4600,0.00,1.000000,0.0000,1.1111,0.0000
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_ddtage,DD-TAGE (Ros),200000001,102065757,1.959521,3.1510,0.0004,237.646,98.4600,0.00,1.000000,0.0000,0.0000,0.0000
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_runlts,RUNLTS (no RV),200000001,102065757,1.959521,3.1510,0.0005,237.646,98.4600,0.00,1.000000,0.0000,-1.1111,-0.0001
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_runlts_rv,RUNLTS (load RV),200000001,102065757,1.959521,3.1510,0.0005,237.646,98.4600,33.05,1.000000,0.0000,-1.1111,-0.0001
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_perfdir,Perfect direction,200000001,102055035,1.959727,3.1510,0.0000,237.598,98.4600,0.00,1.000105,0.0000,100.0000,0.0201
714.cpython_r.sp1,714.cpython_r,0.8494,cbp_perfall,Perfect direction+target,200000001,89395286,2.237254,0.0000,0.0000,0.000,100.0000,0.00,1.141735,100.0000,100.0000,100.0000
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_tagescl64,TAGE-SC-L 64KB,200000001,156495624,1.277991,4.7630,3.2407,455.423,97.5900,0.00,1.000000,0.0000,0.0000,0.0000
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_tagescl192,TAGE-SC-L 192KB,200000001,154851903,1.291557,4.4460,2.9011,442.830,97.7500,0.00,1.010615,6.6555,10.4794,2.7650
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_ddtage,DD-TAGE (Ros),200000004,154709887,1.292742,4.4100,2.8654,440.981,97.7700,0.00,1.011543,7.4113,11.5820,3.1711
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_runlts,RUNLTS (no RV),200000001,154790516,1.292069,4.4250,2.8824,441.057,97.7600,0.00,1.011016,7.0964,11.0568,3.1545
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_runlts_rv,RUNLTS (load RV),200000001,154813556,1.291877,4.4320,2.8882,441.307,97.7600,31.65,1.010865,6.9494,10.8787,3.0995
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_perfdir,Perfect direction,200000001,140631186,1.422160,1.6170,0.0000,227.565,99.1800,0.00,1.112809,66.0508,100.0000,50.0322
721.gcc_r.sp1,721.gcc_r,0.9479,cbp_perfall,Perfect direction+target,200000001,130750109,1.529635,0.0000,0.0000,0.000,100.0000,0.00,1.196906,100.0000,100.0000,100.0000
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_tagescl64,TAGE-SC-L 64KB,200000001,153745201,1.300854,10.7400,5.7270,522.753,94.6800,0.00,1.000000,0.0000,0.0000,0.0000
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_tagescl192,TAGE-SC-L 192KB,200000001,146379211,1.366314,9.3050,3.8840,480.781,95.3900,0.00,1.050321,13.3613,32.1798,8.0290
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_ddtage,DD-TAGE (Ros),200000001,145993884,1.369920,9.2250,3.8045,478.122,95.4300,0.00,1.053093,14.1061,33.5691,8.5377
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_runlts,RUNLTS (no RV),200000004,146231113,1.367698,9.2720,3.8643,479.238,95.4100,0.00,1.051385,13.6685,32.5248,8.3242
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_runlts_rv,RUNLTS (load RV),200000001,146244552,1.367572,9.2750,3.8685,479.471,95.4100,31.20,1.051288,13.6406,32.4512,8.2797
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_perfdir,Perfect direction,200000000,126987184,1.574962,5.6710,0.0000,318.710,97.1900,0.00,1.210714,47.1974,100.0000,39.0324
723.llvm_r.sp1,723.llvm_r,0.8865,cbp_perfall,Perfect direction+target,200000004,97067603,2.060420,0.0000,0.0000,0.000,100.0000,0.00,1.583898,100.0000,100.0000,100.0000
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_tagescl64,TAGE-SC-L 64KB,200000003,106563624,1.876813,0.9584,0.6902,150.502,99.4900,0.00,1.000000,0.0000,0.0000,0.0000
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_tagescl192,TAGE-SC-L 192KB,200000003,106437736,1.879033,0.9315,0.6631,148.578,99.5100,0.00,1.001183,2.8068,3.9300,1.2788
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_ddtage,DD-TAGE (Ros),200000003,106450080,1.878815,0.9290,0.6605,148.541,99.5100,0.00,1.001067,3.0676,4.3082,1.3031
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_runlts,RUNLTS (no RV),200000003,106316323,1.881179,0.8955,0.6268,145.788,99.5200,0.00,1.002326,6.5630,9.1916,3.1327
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_runlts_rv,RUNLTS (load RV),200000003,106328430,1.880965,0.8979,0.6292,145.838,99.5200,31.43,1.002212,6.3126,8.8345,3.0996
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_perfdir,Perfect direction,200000003,103368032,1.934834,0.2727,0.0000,71.313,99.8600,0.00,1.030915,71.5463,100.0000,52.6167
723.llvm_r.sp2,723.llvm_r,0.0950,cbp_perfall,Perfect direction+target,200000003,102124863,1.958387,0.0000,0.0000,0.000,100.0000,0.00,1.043464,100.0000,100.0000,100.0000
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_tagescl64,TAGE-SC-L 64KB,200000004,368216692,0.543158,0.8386,0.1011,241.693,99.6700,0.00,1.000000,0.0000,0.0000,0.0000
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_tagescl192,TAGE-SC-L 192KB,200000004,367887068,0.543645,0.8250,0.0882,233.212,99.6800,0.00,1.000896,1.6218,12.7702,3.5089
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_ddtage,DD-TAGE (Ros),200000004,367833186,0.543725,0.8195,0.0827,231.237,99.6800,0.00,1.001043,2.2776,18.2155,4.3261
